Popular Quotes,Author Names,Likes,Links,Images
"    All the world's a stage, And all the men and women merely players; They have their exits and their entrances; And one man in his time plays many parts, His acts being seven ages.","    William Shakespeare,  ",4406,/author/show/947.William_Shakespeare,https://images.gr-assets.com/authors/1654446514p2/947.jpg
"    Holey? You have the the whole world of ear-related humor before you, you go for holey?ù    ","    J.K. Rowling,  ",4402,/author/show/1077326.J_K_Rowling,https://images.gr-assets.com/authors/1596216614p2/1077326.jpg
"    Maybe who we are isn't so much about what we do, but rather what we're capable of when we least expect it.","    Jodi Picoult,  ",4398,/author/show/7128.Jodi_Picoult,https://images.gr-assets.com/authors/1657141143p2/7128.jpg
"    You see, cuckoos are parasites. They lay their eggs in other birds' nests. When the egg hatches, the baby cuckoo pushes the other baby birds out of the nest. The poor parent birds work themselves to death trying to find enough food to feed the enormous cuckoo child who has murdered their babies and taken their places.""""Enormous?"" said Jace. ""Did you just call me fat?""""It was an analogy.""""I am not fat.","    Cassandra Clare,  ",4397,/author/show/150038.Cassandra_Clare,https://images.gr-assets.com/authors/1270502031p2/150038.jpg
    I dream my painting and I paint my dream.,    Vincent Willem van Gogh  ,4391,/author/show/34583.Vincent_van_Gogh,https://images.gr-assets.com/authors/1651442680p2/34583.jpg
    Forever is composed of nows.,    Emily Dickinson  ,4384,/author/show/7440.Emily_Dickinson,https://images.gr-assets.com/authors/1626025785p2/7440.jpg
"    Out of the corner of her eye she thought she saw Jace shoot her a look of white rage - but when she glanced at him, he looked as he always did: easy, confident, slightly bored.""In future, Clarissa,"" he said, ""it might be wise to mention that you already have a man in your bed, to avoid such tedious situations.""""You invited him into bed?"" Simon demanded, looking shaken.""Ridiculous, isn't it?"" said Jace. ""We would never have all fit.""""I didn't invite him into bed,"" Clary snapped. ""We were just kissing.""""Just kissing?"" Jace's tone mocked her with its false hurt. ""How swiftly you dismiss our love.","    Cassandra Clare,  ",4376,/author/show/150038.Cassandra_Clare,https://images.gr-assets.com/authors/1270502031p2/150038.jpg
"    The darker the night, the brighter the stars,  The deeper the grief, the closer is God?ù    ",    Apollon Maykov  ,4374,/quotes/tag/god, 
    there are worse thingsthan being alonebut it often takesdecades to realize thisand most often when you doit's too lateand there's nothing worsethan too lat?ù    ,    Charles Bukowski  ,4371,/author/show/13275.Charles_Bukowski,https://images.gr-assets.com/authors/1501509674p2/13275.jpg
"    In the beginning there was nothing, which exploded.","    Terry Pratchett,  ",3368,/author/show/1654.Terry_Pratchett,https://images.gr-assets.com/authors/1235562205p2/1654.jpg
"    And I asked myself about the present: how wide it was, how deep it was, how much was mine to keep.","    Kurt Vonnegut,  ",3368,/author/show/2778055.Kurt_Vonnegut_Jr_,https://images.gr-assets.com/authors/1433582280p2/2778055.jpg
"    You have to know what you stand for, not just what you stand against.","    Laurie Halse Anderson,  ",3366,/author/show/10003.Laurie_Halse_Anderson,https://images.gr-assets.com/authors/1563830499p2/10003.jpg
    Always do what is right. It will gratify half of mankind and astound the other.,    Mark Twain  ,3364,/author/show/1244.Mark_Twain,https://images.gr-assets.com/authors/1322103868p2/1244.jpg
"    I am not afraid of storms, for I am learning how to sail my ship.","    Louisa May Alcott,  ",3363,/author/show/1315.Louisa_May_Alcott,https://images.gr-assets.com/authors/1200326665p2/1315.jpg
"    Silence make the real conversations between friends. Not the saying, but the never needing to say that counts.",    Margaret Lee Runbeck  ,3363,/quotes/tag/friendship, 
"    When I had nothing to lose, I had everything. When I stopped being who I am, I found myself.","    Paulo Coelho,  ",3362,/author/show/566.Paulo_Coelho,https://images.gr-assets.com/authors/1201840056p2/566.jpg
    Our memory is a more perfect world than the universe: it gives back life to those who no longer exist.,    Guy de Maupassant  ,3360,/author/show/18791.Guy_de_Maupassant,https://images.gr-assets.com/authors/1651461677p2/18791.jpg
"    Light thinks it travels faster than anything but it is wrong. No matter how fast light travels, it finds the darkness has always got there first, and is waiting for it.","    Terry Pratchett,  ",3360,/author/show/1654.Terry_Pratchett,https://images.gr-assets.com/authors/1235562205p2/1654.jpg
"    Yes, I was infatuated with you: I am still. No one has ever heightened such a keen capacity of physical sensation in me. I cut you out because I couldn't stand being a passing fancy. Before I give my body, I must give my thoughts, my mind, my dreams. And you weren't having any of those.","    Sylvia Plath,  ",3359,/author/show/4379.Sylvia_Plath,https://images.gr-assets.com/authors/1613135175p2/4379.jpg
